20170420124136,10.0.3.2,5001,10.0.1.1,55274,4,0.0-11.3,13238272,9384642
20170420124148,10.0.3.2,5001,10.0.1.1,55275,5,0.0-11.3,13238272,9341498
20170420124159,10.0.3.2,5001,10.0.1.1,55276,4,0.0-11.1,11272192,8117468
20170420124210,10.0.3.2,5001,10.0.1.1,55277,5,0.0-11.3,13238272,9381201
20170420124222,10.0.3.2,5001,10.0.1.1,55278,4,0.0-11.3,13238272,9384415
20170420124233,10.0.3.2,5001,10.0.1.1,55279,5,0.0-11.6,11927552,8253567
20170420124245,10.0.3.2,5001,10.0.1.1,55280,4,0.0-11.2,12845056,9210198
20170420124256,10.0.3.2,5001,10.0.1.1,55281,5,0.0-11.3,13238272,9384520
20170420124307,10.0.3.2,5001,10.0.1.1,55282,4,0.0-11.5,12320768,8579054
20170420124319,10.0.3.2,5001,10.0.1.1,55283,5,0.0-11.1,12320768,8869445
20170420124330,10.0.3.2,5001,10.0.1.1,55284,4,0.0-11.3,13238272,9384604
20170420124342,10.0.3.2,5001,10.0.1.1,55285,5,0.0-11.6,12845056,8842584
20170420124353,10.0.3.2,5001,10.0.1.1,55286,4,0.0-11.0,11796480,8559754
20170420124404,10.0.3.2,5001,10.0.1.1,55287,5,0.0-11.3,13238272,9384647
20170420124416,10.0.3.2,5001,10.0.1.1,55288,4,0.0-11.4,12845056,8987986
20170420124427,10.0.3.2,5001,10.0.1.1,55289,5,0.0-11.0,11403264,8304662
20170420124438,10.0.3.2,5001,10.0.1.1,55290,4,0.0-11.3,13238272,9384485
20170420124449,10.0.3.2,5001,10.0.1.1,55291,5,0.0-11.0,12713984,9235583
20170420124500,10.0.3.2,5001,10.0.1.1,55292,4,0.0-11.0,11272192,8182264
20170420124511,10.0.3.2,5001,10.0.1.1,55293,5,0.0-11.3,13238272,9384848
20170420124523,10.0.3.2,5001,10.0.1.1,55294,4,0.0-11.4,13238272,9328387
20170420124534,10.0.3.2,5001,10.0.1.1,55295,5,0.0-10.8,10878976,8030923
20170420124545,10.0.3.2,5001,10.0.1.1,55296,4,0.0-11.3,13238272,9384569
20170420124556,10.0.3.2,5001,10.0.1.1,55297,5,0.0-11.3,13238272,9381465
20170420124608,10.0.3.2,5001,10.0.1.1,55298,4,0.0-11.6,11927552,8256582
20170420124619,10.0.3.2,5001,10.0.1.1,55299,5,0.0-11.1,12845056,9223489
20170420124631,10.0.3.2,5001,10.0.1.1,55300,4,0.0-11.3,13238272,9384584
20170420124642,10.0.3.2,5001,10.0.1.1,55301,5,0.0-11.5,12451840,8631278
20170420124653,10.0.3.2,5001,10.0.1.1,55302,4,0.0-11.1,12320768,8885396
