20170420133319,10.0.3.2,5001,10.0.1.1,41903,4,0.0-10.2,3145728,2469239
20170420133331,10.0.3.2,5001,10.0.1.1,41904,5,0.0-10.5,3276800,2493822
20170420133341,10.0.3.2,5001,10.0.1.1,41905,4,0.0-10.3,2883584,2236264
20170420133353,10.0.3.2,5001,10.0.1.1,41906,5,0.0-10.8,3145728,2325105
20170420133404,10.0.3.2,5001,10.0.1.1,41907,4,0.0-10.5,3276800,2500490
20170420133414,10.0.3.2,5001,10.0.1.1,41908,5,0.0-10.2,4063232,3195711
20170420133425,10.0.3.2,5001,10.0.1.1,41909,4,0.0-10.5,4063232,3087672
20170420133436,10.0.3.2,5001,10.0.1.1,41910,5,0.0-10.5,2883584,2193780
20170420133447,10.0.3.2,5001,10.0.1.1,41911,4,0.0-10.2,4063232,3199522
20170420133458,10.0.3.2,5001,10.0.1.1,41912,5,0.0-10.3,3407872,2659370
20170420133508,10.0.3.2,5001,10.0.1.1,41913,4,0.0-10.1,3932160,3101155
20170420133519,10.0.3.2,5001,10.0.1.1,41914,5,0.0-10.5,3407872,2589630
20170420133531,10.0.3.2,5001,10.0.1.1,41915,4,0.0-10.7,4063232,3044905
20170420133541,10.0.3.2,5001,10.0.1.1,41916,5,0.0-10.4,3276800,2514920
20170420133552,10.0.3.2,5001,10.0.1.1,41917,4,0.0-10.5,3670016,2792074
20170420133603,10.0.3.2,5001,10.0.1.1,41918,5,0.0-10.3,3932160,3040053
20170420133614,10.0.3.2,5001,10.0.1.1,41919,4,0.0-10.1,3276800,2585279
20170420133624,10.0.3.2,5001,10.0.1.1,41920,5,0.0-10.3,3407872,2651113
20170420133635,10.0.3.2,5001,10.0.1.1,41921,4,0.0-10.2,3932160,3073304
20170420133646,10.0.3.2,5001,10.0.1.1,41922,5,0.0-10.3,3014656,2333408
20170420133657,10.0.3.2,5001,10.0.1.1,41923,4,0.0-10.1,3407872,2699370
20170420133708,10.0.3.2,5001,10.0.1.1,41924,5,0.0-10.3,3670016,2840698
20170420133718,10.0.3.2,5001,10.0.1.1,41925,4,0.0-10.4,4456448,3417635
20170420133729,10.0.3.2,5001,10.0.1.1,41926,5,0.0-10.5,3145728,2407824
20170420133740,10.0.3.2,5001,10.0.1.1,41927,4,0.0-10.5,3670016,2792033
20170420133751,10.0.3.2,5001,10.0.1.1,41928,5,0.0-10.5,3801088,2903888
20170420133802,10.0.3.2,5001,10.0.1.1,41929,4,0.0-10.3,3670016,2837323
20170420133813,10.0.3.2,5001,10.0.1.1,41930,5,0.0-10.2,3538944,2765942
20170420133823,10.0.3.2,5001,10.0.1.1,41931,4,0.0-10.4,3145728,2423590
20170420133834,10.0.3.2,5001,10.0.1.1,41932,5,0.0-10.2,3145728,2476101
